name,loss-type (default: target-sym),parameters
energy,,2500
protein,,55.5
fat,max,97
saturated,max,31
polyunsaturated,,18
monounsaturated,,36
carbohydrate,min,333
sugar,max,33
salt,max,6
fibre,,30
vitamin A,,700e-6
thiamin,,1e-3
riboflavin,,1.3e-3
niacin,,16.5e-3
vitamin B6,,1.4e-3
vitamin B12,,1.5e-6
folate,,200e-6
vitamin C,,40e-3
vitamin D,,10e-6
iron,,8.7e-3
calcium,,700e-3
magnesium,,300e-3
potassium,,3.5
zinc,,9.5e-3
copper,,1.2e-3
iodine,,140e-6
selenium,,75e-6
phosphorus,,0.55
chloride,,2.5
sodium,,2.4